center1,center2,far_base,close_base,far_ecc,close_ecc
"[(362.5, 1.5)]","[(213.5, -6.5)]","[(362.5, 1.5)]","[(213.5, -6.5)]",362.5031034349913,213.5989232182597
"[(420.5, 11.5)]","[(230.5, -0.5)]","[(420.5, 11.5)]","[(230.5, -0.5)]",420.6572238771135,230.5005422987113
"[(210.5, 0.5)]","[(416.5, 17.5)]","[(416.5, 17.5)]","[(210.5, 0.5)]",416.86748493975875,210.50059382339043
"[(273.5, -1.5)]","[(471.5, -14.5)]","[(471.5, -14.5)]","[(273.5, -1.5)]",471.7229059522126,273.50411331458986
"[(470.5, -12.5)]","[(211.5, 7.5)]","[(470.5, -12.5)]","[(211.5, 7.5)]",470.66601746886295,211.6329369450795
"[(428.5, 6.5)]","[(222.5, 4.5)]","[(428.5, 6.5)]","[(222.5, 4.5)]",428.54929704760923,222.54550096553288
"[(471.5, 11.5)]","[(201.5, -2.5)]","[(471.5, 11.5)]","[(201.5, -2.5)]",471.6402230514272,201.51550808808736
"[(473.5, 11.5)]","[(263.5, 10.5)]","[(473.5, 11.5)]","[(263.5, 10.5)]",473.6396309431887,263.70912005465414
"[(498.5, 7.5)]","[(284.5, 6.5)]","[(498.5, 7.5)]","[(284.5, 6.5)]",498.55641606542383,284.5742433882589
"[(470.5, -15.5)]","[(271.5, 8.5)]","[(470.5, -15.5)]","[(271.5, 8.5)]",470.7552442618138,271.63302450180834
"[(378.5, -14.5)]","[(203.5, 3.5)]","[(378.5, -14.5)]","[(203.5, 3.5)]",378.77763925554,203.530096054613
"[(250.5, -5.5)]","[(465.5, -1.5)]","[(465.5, -1.5)]","[(250.5, -5.5)]",465.5024167499026,250.5603719665183
"[(426.5, 18.5)]","[(237.5, -4.5)]","[(426.5, 18.5)]","[(237.5, -4.5)]",426.90104239741555,237.5426277534203
"[(337.5, 3.5)]","[(201.5, 4.5)]","[(337.5, 3.5)]","[(201.5, 4.5)]",337.51814766024063,201.55024187532
"[(380.5, -4.5)]","[(206.5, -4.5)]","[(380.5, -4.5)]","[(206.5, -4.5)]",380.52660879365584,206.54902565734847
"[(391.5, -5.5)]","[(225.5, 2.5)]","[(391.5, -5.5)]","[(225.5, 2.5)]",391.5386315550485,225.5138576673283
"[(303.5, 11.5)]","[(509.5, 5.5)]","[(509.5, 5.5)]","[(303.5, 11.5)]",509.5296851018594,303.71779664682145
"[(297.5, -10.5)]","[(511.5, -15.5)]","[(511.5, -15.5)]","[(297.5, -10.5)]",511.73479459579454,297.68523644950886
"[(486.5, -5.5)]","[(282.5, 7.5)]","[(486.5, -5.5)]","[(282.5, 7.5)]",486.5310884208737,282.5995399854713
"[(456.5, -11.5)]","[(216.5, -6.5)]","[(456.5, -11.5)]","[(216.5, -6.5)]",456.6448291615706,216.5975530794381
"[(434.5, -4.5)]","[(210.5, 5.5)]","[(434.5, -4.5)]","[(210.5, 5.5)]",434.5233020218824,210.571840472557
"[(435.5, 10.5)]","[(233.5, -7.5)]","[(435.5, 10.5)]","[(233.5, -7.5)]",435.6265602554555,233.62041862816702
"[(473.5, -5.5)]","[(236.5, -8.5)]","[(473.5, -5.5)]","[(236.5, -8.5)]",473.5319419004382,236.65269911834937
"[(473.5, 11.5)]","[(263.5, 10.5)]","[(473.5, 11.5)]","[(263.5, 10.5)]",473.6396309431887,263.70912005465414
"[(440.5, -17.5)]","[(257.5, 7.5)]","[(440.5, -17.5)]","[(257.5, 7.5)]",440.84747929414317,257.60920014626805
"[(421.5, 1.5)]","[(227.5, -0.5)]","[(421.5, 1.5)]","[(227.5, -0.5)]",421.5026690306955,227.50054944988594
"[(337.5, 3.5)]","[(201.5, 4.5)]","[(337.5, 3.5)]","[(201.5, 4.5)]",337.51814766024063,201.55024187532
"[(374.5, 15.5)]","[(224.5, 2.5)]","[(374.5, 15.5)]","[(224.5, 2.5)]",374.82062376555535,224.51391939031308
"[(209.5, 6.5)]","[(436.5, -13.5)]","[(436.5, -13.5)]","[(209.5, 6.5)]",436.70871298841746,209.60081106713304
"[(438.5, -4.5)]","[(260.5, -2.5)]","[(438.5, -4.5)]","[(260.5, -2.5)]",438.5230894719228,260.51199588502635
"[(373.5, 5.5)]","[(219.5, -2.5)]","[(373.5, 5.5)]","[(219.5, -2.5)]",373.5404931195546,219.51423644037305
"[(493.5, -20.5)]","[(277.5, 10.5)]","[(493.5, -20.5)]","[(277.5, 10.5)]",493.9256016851121,277.69857759808565
"[(394.5, 10.5)]","[(204.5, -8.5)]","[(394.5, 10.5)]","[(204.5, -8.5)]",394.6397091018591,204.67657413587906
"[(410.5, -8.5)]","[(240.5, -10.5)]","[(410.5, -8.5)]","[(240.5, -10.5)]",410.5879930051535,240.72910085820533
"[(241.5, -7.5)]","[(468.5, -9.5)]","[(468.5, -9.5)]","[(241.5, -7.5)]",468.5963081373988,241.61643156043837
"[(239.5, -7.5)]","[(494.5, 19.5)]","[(494.5, 19.5)]","[(239.5, -7.5)]",494.8843299196288,239.6174033746297
"[(426.5, -12.5)]","[(240.5, -10.5)]","[(426.5, -12.5)]","[(240.5, -10.5)]",426.68313770290945,240.72910085820533
"[(451.5, -15.5)]","[(238.5, -3.5)]","[(451.5, -15.5)]","[(238.5, -3.5)]",451.76597924146523,238.5256799592027
"[(426.5, 0.5)]","[(240.5, -5.5)]","[(426.5, 0.5)]","[(240.5, -5.5)]",426.5002930831349,240.5628815923188
"[(286.5, -10.5)]","[(505.5, -4.5)]","[(505.5, -4.5)]","[(286.5, -10.5)]",505.5200292767835,286.692343811271
"[(370.5, -13.5)]","[(210.5, 2.5)]","[(370.5, -13.5)]","[(210.5, 2.5)]",370.74586983539007,210.51484508224118
"[(484.5, 1.5)]","[(273.5, -7.5)]","[(484.5, 1.5)]","[(273.5, -7.5)]",484.50232197586007,273.60281431301104
"[(268.5, -3.5)]","[(487.5, -15.5)]","[(487.5, -15.5)]","[(268.5, -3.5)]",487.746348012981,268.52281094908864
"[(250.5, -5.5)]","[(465.5, -1.5)]","[(465.5, -1.5)]","[(250.5, -5.5)]",465.5024167499026,250.5603719665183
"[(490.5, 20.5)]","[(240.5, -5.5)]","[(490.5, 20.5)]","[(240.5, -5.5)]",490.9282024899364,240.5628815923188
"[(469.5, -12.5)]","[(202.5, 3.5)]","[(469.5, -12.5)]","[(202.5, 3.5)]",469.66637094857026,202.53024465496506
"[(453.5, -14.5)]","[(250.5, 4.5)]","[(453.5, -14.5)]","[(250.5, 4.5)]",453.7317489442413,250.54041590130723
"[(453.5, 19.5)]","[(249.5, 6.5)]","[(453.5, 19.5)]","[(249.5, 6.5)]",453.91904564580676,249.58465497702377
"[(353.5, -1.5)]","[(200.5, -4.5)]","[(353.5, -1.5)]","[(200.5, -4.5)]",353.503182446778,200.55049239530678
"[(447.5, -16.5)]","[(244.5, 9.5)]","[(447.5, -16.5)]","[(244.5, 9.5)]",447.80408662717673,244.684490722236
"[(234.5, 4.5)]","[(471.5, -4.5)]","[(471.5, -4.5)]","[(234.5, 4.5)]",471.5214735301034,234.54317299806448
"[(500.5, 2.5)]","[(256.5, -5.5)]","[(500.5, 2.5)]","[(256.5, -5.5)]",500.5062437172987,256.5589600852015
"[(423.5, -10.5)]","[(232.5, -0.5)]","[(423.5, -10.5)]","[(232.5, -0.5)]",423.63014529185716,232.500537633787
"[(473.5, 11.5)]","[(263.5, 10.5)]","[(473.5, 11.5)]","[(263.5, 10.5)]",473.6396309431887,263.70912005465414
"[(471.5, -8.5)]","[(240.5, -7.5)]","[(471.5, -8.5)]","[(240.5, -7.5)]",471.5766109552084,240.61691544860267
"[(397.5, -4.5)]","[(215.5, 6.5)]","[(397.5, -4.5)]","[(215.5, 6.5)]",397.5254708820556,215.59800555663776
"[(394.5, 6.5)]","[(208.5, 3.5)]","[(394.5, 6.5)]","[(208.5, 3.5)]",394.5535451621237,208.52937442959924
"[(368.5, -7.5)]","[(208.5, 4.5)]","[(368.5, -7.5)]","[(208.5, 4.5)]",368.5763150285162,208.54855549727503
"[(424.5, 9.5)]","[(240.5, -1.5)]","[(424.5, 9.5)]","[(240.5, -1.5)]",424.60628822475064,240.50467770918718
"[(386.5, -15.5)]","[(228.5, -1.5)]","[(386.5, -15.5)]","[(228.5, -1.5)]",386.81067720527057,228.5049233605263
"[(379.5, 3.5)]","[(215.5, 3.5)]","[(379.5, 3.5)]","[(215.5, 3.5)]",379.51613931425896,215.52842039972361
"[(477.5, -12.5)]","[(267.5, 2.5)]","[(477.5, -12.5)]","[(267.5, 2.5)]",477.66358454460396,267.51168198790873
"[(364.5, -10.5)]","[(204.5, 3.5)]","[(364.5, -10.5)]","[(204.5, 3.5)]",364.6512032065711,204.52994890724437
"[(302.5, 7.5)]","[(508.5, 16.5)]","[(508.5, 16.5)]","[(302.5, 7.5)]",508.76762868720334,302.5929609227551
"[(396.5, 4.5)]","[(222.5, 6.5)]","[(396.5, 4.5)]","[(222.5, 6.5)]",396.52553511722294,222.59492357194492
"[(486.5, -14.5)]","[(234.5, -2.5)]","[(486.5, -14.5)]","[(234.5, -2.5)]",486.71603630864684,234.51332584738122
"[(473.5, -6.5)]","[(283.5, -4.5)]","[(473.5, -6.5)]","[(283.5, -4.5)]",473.54461247067314,283.53571203642053
"[(479.5, -9.5)]","[(251.5, 8.5)]","[(479.5, -9.5)]","[(251.5, 8.5)]",479.5940992130741,251.64359717664186
"[(466.5, 1.5)]","[(261.5, -4.5)]","[(466.5, 1.5)]","[(261.5, -4.5)]",466.5024115693294,261.53871606322457
"[(390.5, -6.5)]","[(200.5, -1.5)]","[(390.5, -6.5)]","[(200.5, -1.5)]",390.5540935645151,200.50561089405952
